,期数,红球号码_1,红球号码_2,红球号码_3,红球号码_4,红球号码_5,红球号码_6,蓝球,奖池奖金(元),一等奖_注数,一等奖_奖金(元),二等奖_注数,二等奖_奖金(元),总投注额(元),开奖日期
131,2021072,01,09,15,16,19,21,15,9亿0692万4437元,3,"10,000,000",105,"275,206","351,515,940",2021-06-29
132,2021071,01,07,24,31,32,33,08,8亿5023万4438元,6,"7,393,944",75,"239,394","384,399,388",2021-06-27
133,2021070,01,05,11,15,16,29,15,8亿4073万4349元,6,"8,972,728",179,"166,455","356,032,100",2021-06-24
134,2021069,06,11,18,20,23,26,05,8亿0518万4330元,5,"8,297,648",130,"158,540","348,547,620",2021-06-22
135,2021068,04,14,18,24,31,32,15,7亿8484万1657元,7,"8,662,562",232,"138,135","381,950,996",2021-06-20
136,2021067,01,11,19,23,25,29,09,7亿4933万7326元,6,"7,464,865",61,"303,057","352,986,918",2021-06-17
137,2021066,02,06,19,26,30,33,15,7亿3866万7046元,14,"6,436,433",145,"173,362","343,529,368",2021-06-15
138,2021065,01,04,08,19,29,33,16,7亿5336万4365元,3,"10,000,000",82,"384,177","362,527,724",2021-06-13
139,2021064,04,06,08,15,16,18,16,6亿8885万6687元,4,"10,000,000",112,"242,377","353,338,262",2021-06-10
140,2021063,04,05,06,09,23,24,09,6亿4741万7696元,16,"5,000,000",106,"6,000","370,142,008",2021-06-08
141,2021062,12,13,15,20,22,25,10,7亿2741万7696元,6,"8,804,175",67,"425,840","405,763,536",2021-06-06
142,2021061,04,09,12,18,20,23,01,6亿9464万8802元,4,"10,000,000",127,"237,150","376,779,952",2021-06-03
143,2021060,10,11,17,20,29,30,15,6亿4429万4438元,6,"8,356,965",163,"154,461","365,484,344",2021-06-01
144,2021059,01,09,11,18,32,33,14,6亿1890万4511元,1,"10,000,000",91,"397,078","407,754,588",2021-05-30
145,2021058,09,11,13,18,19,28,14,5亿2050万2015元,5,"9,893,453",96,"318,584","382,666,074",2021-05-27
146,2021057,05,06,09,17,25,33,16,4亿7821万7025元,6,"8,882,850",179,"162,689","379,559,152",2021-05-25
147,2021056,08,21,22,23,29,32,01,4亿4414万9990元,10,"7,488,306",215,"144,669","410,076,324",2021-05-23
148,2021055,03,11,12,16,22,28,10,4亿2572万1551元,29,"5,553,793",206,"97,451","376,647,950",2021-05-20
149,2021054,07,13,21,22,24,31,02,5亿2655万6537元,4,"10,000,000",83,"374,991","371,689,954",2021-05-18
150,2021053,07,10,14,16,24,33,16,4亿7318万3576元,3,"10,000,000",84,"355,480","398,009,388",2021-05-16
151,2021052,03,04,06,19,21,30,14,4亿1360万2410元,1,"10,000,000",171,"171,643","376,039,676",2021-05-13
152,2021051,08,09,10,19,27,29,15,3亿3554万9357元,10,"6,796,944",309,"72,691","377,624,458",2021-05-11
153,2021050,02,09,10,16,25,28,08,3亿3613万3387元,22,"5,598,001",248,"66,310","403,433,980",2021-05-09
154,2021049,04,11,13,22,25,32,01,4亿0995万4275元,4,"10,000,000",78,"440,233","375,111,072",2021-05-06
155,2021048,04,15,17,22,29,32,03,3亿4693万9552元,2,"10,000,000",64,"394,580","339,198,590",2021-05-04
156,2021047,03,07,13,16,24,29,01,2亿9118万0168元,5,"9,419,460",231,"119,574","367,123,752",2021-05-02
157,2021046,05,09,13,21,28,33,06,2亿5541万2592元,24,"5,735,971",122,"180,976","377,425,810",2021-04-29
158,2021045,01,04,14,15,17,32,02,3亿2683万8472元,6,"8,717,208",86,"324,175","377,279,966",2021-04-27
159,2021044,05,07,14,17,26,28,13,2亿9550万4539元,5,"10,000,000",160,"213,373","418,973,684",2021-04-25
160,2021043,02,03,17,18,23,24,01,2亿4308万5282元,3,"10,000,000",93,"331,233","389,948,810",2021-04-22
161,2021042,05,09,10,22,25,27,08,1亿8067万1046元,26,"5,498,446",275,"58,907","382,918,124",2021-04-20
162,2021041,02,09,18,23,26,32,14,2亿7503万2108元,54,"5,307,817",367,"56,614","415,676,146",2021-04-18
163,2021040,02,06,07,24,28,29,16,4亿9932万1280元,6,"8,652,104",238,"115,087","385,858,982",2021-04-15
164,2021039,02,08,21,24,29,31,13,4亿6906万1553元,7,"7,814,665",105,"234,555","377,513,042",2021-04-13
165,2021038,05,07,09,16,18,27,06,4亿4987万9238元,32,"5,502,610",539,"37,299","401,665,288",2021-04-11
166,2021037,13,17,19,24,26,30,12,5亿6564万9555元,7,"7,856,624",104,"240,340","374,416,372",2021-04-08
167,2021036,01,02,06,11,21,26,11,5亿4565万9537元,12,"6,690,644",137,"185,107","365,524,430",2021-04-06
168,2021035,12,14,18,20,26,28,11,5亿4986万8285元,7,"7,844,638",153,"162,683","382,205,894",2021-04-04
169,2021034,04,10,12,18,23,25,01,5亿3010万9002元,5,"8,852,481",155,"155,342","377,894,218",2021-04-01
170,2021033,02,12,13,14,31,33,06,5亿0213万7377元,7,"8,001,905",98,"268,027","378,842,354",2021-03-30
171,2021032,01,05,08,15,16,30,03,4亿7935万0693元,12,"6,977,206",187,"158,599","421,020,572",2021-03-28
172,2021031,06,11,21,25,28,31,07,4亿7410万2879元,12,"5,950,364",166,"85,876","389,664,660",2021-03-25
173,2021030,08,09,13,27,29,31,05,5亿0274万0835元,7,"8,232,900",143,"197,817","388,490,602",2021-03-23
174,2021029,08,10,15,17,22,30,12,4亿7550万7497元,17,"5,716,335",234,"65,051","413,514,858",2021-03-21
175,2021028,11,16,23,26,27,33,05,5亿2701万8817元,7,"7,433,674",125,"170,357","387,583,114",2021-03-18
176,2021027,05,07,09,16,20,26,08,5亿1517万0584元,23,"5,339,305",391,"24,948","371,997,822",2021-03-16
177,2021026,03,05,13,19,20,25,03,6亿0870万9487元,74,"5,079,572",829,"8,878","415,303,494",2021-03-14
178,2021025,06,08,14,17,18,30,11,9亿6251万6400元,6,"8,396,506",166,"153,456","370,761,350",2021-03-11
